DECLARE @DB_Users TABLE (DBName sysname, UserName sysname, LoginType sysname
, AssociatedRole varchar(max), create_date datetime, modify_date datetime)

INSERT @DB_Users
EXEC sp_MSforeachdb
'use [?]
SELECT ''?'' AS DB_Name,
case prin.name when ''dbo'' then prin.name + '' (''
    + (select SUSER_SNAME(owner_sid) from master.sys.databases where name =''?'') + '')''
    else prin.name end AS UserName,
    prin.type_desc AS LoginType,
    isnull(USER_NAME(mem.role_principal_id),'''') AS AssociatedRole, 
    create_date, modify_date
FROM sys.database_principals prin
LEFT OUTER JOIN sys.database_role_members mem
    ON prin.principal_id=mem.member_principal_id
WHERE prin.sid IS NOT NULL and prin.sid NOT IN (0x00)
and prin.is_fixed_role <> 1 AND prin.name NOT LIKE ''##%'''

SELECT dbname, username, logintype, create_date, modify_date,
    STUFF((SELECT ',' + CONVERT(VARCHAR(500), associatedrole)
        FROM @DB_Users user2
        WHERE user1.DBName=user2.DBName AND user1.UserName=user2.UserName
        FOR XML PATH('')
    ),1,1,'') AS Permissions_user
FROM @DB_Users user1
--WHERE 
--user1.UserName = N'<put your login-name here!>'
GROUP BY dbname, username, logintype, create_date, modify_date
ORDER BY DBName, username

dbname	username	logintype	create_date	modify_date	Permissions_user
BIPortal_SSP_WSS_Content	AU\svc_moss_service	WINDOWS_USER	2008-02-13 14:39:49.420	2008-02-13 14:39:49.420	db_owner
BIPortal_SSP_WSS_Content	AU\svc_moss_ServicePool	WINDOWS_USER	2008-02-13 14:34:26.363	2008-02-13 14:34:26.363	db_owner
BIPortal_SSP_WSS_Content	AU\svc_sqladmin	WINDOWS_USER	2008-03-12 18:16:37.963	2008-03-12 18:16:37.963	db_owner
BIPortal_SSP_WSS_Content	dbo (AU\svc_moss_farm)	WINDOWS_USER	2003-04-08 09:10:42.287	2016-04-02 16:38:19.003	db_owner
BIPortal_SSP_WSS_Content	NT AUTHORITY\NETWORK SERVICE	WINDOWS_USER	2008-03-12 18:16:35.043	2008-03-12 18:16:35.043	db_owner
BIPortal_SSP_WSS_Content	public	DATABASE_ROLE	2003-04-08 09:10:42.317	2005-10-14 01:36:25.610	
BIPortal_WSS_Content	AU\svc_moss_content	WINDOWS_USER	2008-02-14 11:54:11.447	2008-02-14 11:54:11.447	db_owner
BIPortal_WSS_Content	AU\svc_moss_service	WINDOWS_USER	2008-02-13 14:57:15.710	2008-02-13 14:57:15.710	db_owner
BIPortal_WSS_Content	AU\svc_moss_ServicePool	WINDOWS_USER	2008-02-13 14:56:58.287	2008-02-13 14:56:58.287	db_owner
BIPortal_WSS_Content	AU\svc_sqladmin	WINDOWS_USER	2008-03-12 18:16:37.090	2008-03-12 18:16:37.090	db_owner
BIPortal_WSS_Content	dbo (AU\svc_moss_farm)	WINDOWS_USER	2003-04-08 09:10:42.287	2016-04-02 16:38:32.620	db_owner
BIPortal_WSS_Content	NT AUTHORITY\NETWORK SERVICE	WINDOWS_USER	2008-03-12 18:16:32.497	2008-03-12 18:16:32.497	db_owner
BIPortal_WSS_Content	public	DATABASE_ROLE	2003-04-08 09:10:42.317	2005-10-14 01:36:25.610	
BIPortal_WSS_Content_Main	AU\svc_moss_content	WINDOWS_USER	2009-03-06 15:37:57.330	2009-03-06 15:37:57.330	db_owner
BIPortal_WSS_Content_Main	AU\svc_moss_farm	WINDOWS_USER	2009-03-06 15:37:57.203	2009-03-06 15:37:57.203	db_owner
BIPortal_WSS_Content_Main	AU\svc_moss_service	WINDOWS_USER	2009-03-06 15:38:14.640	2009-03-06 15:38:14.640	db_owner
BIPortal_WSS_Content_Main	AU\svc_sqladmin	WINDOWS_USER	2009-03-14 16:51:47.227	2009-03-14 16:51:47.227	db_owner
BIPortal_WSS_Content_Main	dbo (sa)	SQL_USER	2003-04-08 09:10:42.287	2016-04-02 16:39:29.973	db_owner
BIPortal_WSS_Content_Main	public	DATABASE_ROLE	2003-04-08 09:10:42.317	2005-10-14 01:36:25.610	
BIPortal_WSS_Content_MS	AU\svc_moss_content	WINDOWS_USER	2008-02-18 17:13:08.620	2008-02-18 17:13:08.620	db_owner
BIPortal_WSS_Content_MS	AU\svc_moss_service	WINDOWS_USER	2008-02-18 17:13:35.853	2008-02-18 17:13:35.853	db_owner
BIPortal_WSS_Content_MS	AU\svc_sqladmin	WINDOWS_USER	2008-03-12 18:16:37.230	2008-03-12 18:16:37.230	db_owner
BIPortal_WSS_Content_MS	dbo (AU\svc_moss_farm)	WINDOWS_USER	2003-04-08 09:10:42.287	2016-04-02 16:51:54.420	db_owner
BIPortal_WSS_Content_MS	NT AUTHORITY\NETWORK SERVICE	WINDOWS_USER	2008-03-12 18:16:32.747	2008-03-12 18:16:32.747	db_owner
BIPortal_WSS_Content_MS	public	DATABASE_ROLE	2003-04-08 09:10:42.317	2005-10-14 01:36:25.610	
BIPortal_WSS_Search	AU\svc_moss_content	WINDOWS_USER	2008-02-14 11:55:00.743	2008-02-14 11:55:00.743	db_owner
BIPortal_WSS_Search	AU\svc_moss_crawl	WINDOWS_USER	2008-02-13 14:31:34.593	2008-02-13 14:31:34.593	db_owner
BIPortal_WSS_Search	AU\svc_moss_search	WINDOWS_USER	2008-02-15 18:34:24.620	2008-02-15 18:34:24.620	db_owner
BIPortal_WSS_Search	AU\svc_moss_ServicePool	WINDOWS_USER	2008-02-13 14:35:01.550	2008-02-13 14:35:01.550	db_owner
BIPortal_WSS_Search	dbo (sa)	SQL_USER	2003-04-08 09:10:42.287	2016-04-02 16:40:13.077	db_owner
BIPortal_WSS_Search	public	DATABASE_ROLE	2003-04-08 09:10:42.317	2005-10-14 01:36:25.610	
BIPortalMySite_WSS_Content	AU\svc_moss_content	WINDOWS_USER	2008-03-19 17:44:31.443	2008-03-19 17:44:31.443	db_owner
BIPortalMySite_WSS_Content	AU\svc_moss_service	WINDOWS_USER	2008-02-13 14:39:49.463	2008-02-13 14:39:49.463	db_owner
BIPortalMySite_WSS_Content	AU\svc_moss_ServicePool	WINDOWS_USER	2008-02-13 14:36:25.913	2008-02-13 14:36:25.913	db_owner
BIPortalMySite_WSS_Content	AU\svc_sqladmin	WINDOWS_USER	2008-03-12 18:16:37.700	2008-03-12 18:16:37.700	db_owner
BIPortalMySite_WSS_Content	dbo (AU\svc_moss_farm)	WINDOWS_USER	2003-04-08 09:10:42.287	2016-04-02 16:40:48.660	db_owner
BIPortalMySite_WSS_Content	NT AUTHORITY\NETWORK SERVICE	WINDOWS_USER	2008-03-12 18:16:33.853	2008-03-12 18:16:33.853	db_owner
BIPortalMySite_WSS_Content	public	DATABASE_ROLE	2003-04-08 09:10:42.317	2005-10-14 01:36:25.610	
Citrix_Command_Center	dbo (sa)	SQL_USER	2003-04-08 09:10:42.287	2016-04-02 16:41:14.963	db_owner
Citrix_Command_Center	NetscalerCMD	SQL_USER	2010-02-18 14:32:06.370	2010-02-18 14:32:06.370	db_owner
Citrix_Command_Center	public	DATABASE_ROLE	2003-04-08 09:10:42.317	2005-10-14 01:36:25.610	
CTIntranetMem	cgleeson	SQL_USER	2001-11-13 14:41:23.530	2001-11-13 14:41:23.530	
CTIntranetMem	CTIntranet	SQL_USER	2002-10-04 16:34:45.443	2007-06-13 20:10:19.500	db_owner
CTIntranetMem	dbo (sa)	SQL_USER	1998-11-13 02:58:39.250	2016-04-02 16:41:27.420	db_owner
CTIntranetMem	public	DATABASE_ROLE	1998-11-13 02:58:39.267	2007-06-13 19:58:31.720	
DDLS_Intranet_CentralAdminDB	AU\AUNLSMSMSS01$	WINDOWS_USER	2008-05-16 16:21:05.087	2008-05-16 16:21:05.087	WSS_Content_Application_Pools
DDLS_Intranet_CentralAdminDB	AU\jtheeng	WINDOWS_USER	2009-04-30 17:23:16.163	2009-04-30 17:23:16.163	WSS_Content_Application_Pools
DDLS_Intranet_CentralAdminDB	AU\svc_moss_content	WINDOWS_USER	2008-05-16 16:51:46.700	2008-05-16 16:51:46.700	WSS_Content_Application_Pools
DDLS_Intranet_CentralAdminDB	AU\svc_moss_crawl	WINDOWS_USER	2008-05-16 19:19:06.030	2008-05-16 19:19:06.030	WSS_Content_Application_Pools
DDLS_Intranet_CentralAdminDB	AU\svc_moss_farm	WINDOWS_USER	2008-05-16 16:20:30.620	2008-05-16 16:20:30.620	WSS_Content_Application_Pools,db_owner
DDLS_Intranet_CentralAdminDB	AU\svc_moss_search	WINDOWS_USER	2008-05-16 19:19:05.480	2008-05-16 19:19:05.480	WSS_Content_Application_Pools
DDLS_Intranet_CentralAdminDB	AU\svc_moss_service	WINDOWS_USER	2008-05-16 19:29:41.273	2008-05-16 19:29:41.273	WSS_Content_Application_Pools
DDLS_Intranet_CentralAdminDB	AU\svc_sqladmin	WINDOWS_USER	2009-04-30 17:08:16.313	2009-04-30 17:08:16.313	WSS_Content_Application_Pools
DDLS_Intranet_CentralAdminDB	dbo (sa)	SQL_USER	2003-04-08 09:10:42.287	2016-04-02 16:41:42.963	db_owner
DDLS_Intranet_CentralAdminDB	public	DATABASE_ROLE	2003-04-08 09:10:42.317	2005-10-14 01:36:25.610	
DDLS_Intranet_CentralAdminDB	WSS_Content_Application_Pools	DATABASE_ROLE	2008-05-16 16:21:01.290	2008-05-16 16:21:01.290	
DDLS_Intranet_ConfigDB	AU\AUNLSMSMSS01$	WINDOWS_USER	2008-05-16 16:21:04.963	2008-05-16 16:21:04.963	WSS_Content_Application_Pools
DDLS_Intranet_ConfigDB	AU\gcarthew	WINDOWS_USER	2012-03-12 14:28:30.803	2012-03-12 14:28:30.803	db_owner
DDLS_Intranet_ConfigDB	AU\gtsiliri	WINDOWS_USER	2017-02-14 17:37:33.113	2017-02-14 17:37:33.113	db_owner
DDLS_Intranet_ConfigDB	AU\jtheeng	WINDOWS_USER	2009-04-30 17:23:16.070	2009-04-30 17:23:16.070	WSS_Content_Application_Pools
DDLS_Intranet_ConfigDB	AU\kmerckel	WINDOWS_USER	2009-04-29 15:52:44.453	2009-04-29 15:52:44.453	db_owner
DDLS_Intranet_ConfigDB	AU\mwalsh	WINDOWS_USER	2012-05-25 18:17:08.527	2012-05-25 18:17:08.527	db_owner
DDLS_Intranet_ConfigDB	AU\ply	WINDOWS_USER	2008-05-16 17:01:31.667	2008-05-16 17:01:31.667	db_datareader
DDLS_Intranet_ConfigDB	AU\svc_moss_content	WINDOWS_USER	2008-05-16 16:51:46.670	2008-05-16 16:51:46.670	WSS_Content_Application_Pools
DDLS_Intranet_ConfigDB	AU\svc_moss_crawl	WINDOWS_USER	2008-05-16 19:19:05.967	2008-05-16 19:19:05.967	WSS_Content_Application_Pools
DDLS_Intranet_ConfigDB	AU\svc_moss_farm	WINDOWS_USER	2008-05-16 16:20:21.210	2008-05-16 16:20:21.210	WSS_Content_Application_Pools,db_owner
DDLS_Intranet_ConfigDB	AU\svc_moss_search	WINDOWS_USER	2008-05-16 19:19:05.310	2008-05-16 19:19:05.310	WSS_Content_Application_Pools
DDLS_Intranet_ConfigDB	AU\svc_moss_service	WINDOWS_USER	2008-05-16 19:29:41.260	2008-05-16 19:29:41.260	WSS_Content_Application_Pools
DDLS_Intranet_ConfigDB	AU\svc_sqladmin	WINDOWS_USER	2009-04-30 17:08:16.250	2009-04-30 17:08:16.250	WSS_Content_Application_Pools
DDLS_Intranet_ConfigDB	BUILTIN\Administrators	WINDOWS_GROUP	2008-05-16 16:20:58.430	2008-05-16 16:20:58.430	db_owner
DDLS_Intranet_ConfigDB	dbo (sa)	SQL_USER	2003-04-08 09:10:42.287	2016-04-02 16:41:54.433	db_owner
DDLS_Intranet_ConfigDB	peter.ly	SQL_USER	2014-07-03 12:55:21.110	2014-07-03 12:55:21.110	db_datareader
DDLS_Intranet_ConfigDB	public	DATABASE_ROLE	2003-04-08 09:10:42.317	2005-10-14 01:36:25.610	
DDLS_Intranet_ConfigDB	WSS_Content_Application_Pools	DATABASE_ROLE	2008-05-16 16:20:11.070	2008-05-16 16:20:11.070	
